type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-01-06 09:20:51.797,47.21622409,10.13992586,32.00,1643.962,,0.000,,7,8,20230106-102051,GPS Logger: 20230106-102051
T,2023-01-06 09:20:53,47.21622505,10.13991282,24.00,1643.550,,0.000,,7,8,,
T,2023-01-06 09:20:54,47.21622415,10.13991520,24.00,1643.752,,0.000,,7,8,,
T,2023-01-06 09:20:55,47.21622334,10.13992247,24.00,1644.359,,0.000,,6,8,,
T,2023-01-06 09:20:56,47.21622282,10.13992608,24.00,1644.534,,0.000,,6,8,,
T,2023-01-06 09:20:57,47.21622610,10.13993016,24.00,1639.640,,0.000,,5,8,,
T,2023-01-06 09:20:58,47.21622758,10.13995652,24.00,1640.442,,0.000,,5,8,,
T,2023-01-06 09:20:59,47.21622894,10.13999919,24.00,1642.524,,0.000,,5,8,,
T,2023-01-06 09:21:00,47.21623438,10.14004745,16.00,1644.983,,0.000,,6,8,,
T,2023-01-06 09:21:01,47.21624012,10.14007961,16.00,1646.910,,0.000,,5,8,,
T,2023-01-06 09:21:02,47.21623850,10.14008420,16.00,1647.094,,0.000,,5,8,,
T,2023-01-06 09:21:03,47.21623558,10.14008774,16.00,1646.763,,0.000,,7,8,,
T,2023-01-06 09:21:04,47.21623408,10.14008011,16.00,1646.343,,0.000,,6,8,,
T,2023-01-06 09:21:05,47.21623335,10.14007896,16.00,1646.098,,0.000,,4,8,,
T,2023-01-06 09:21:06,47.21623042,10.14007972,16.00,1646.924,,0.000,,5,8,,
T,2023-01-06 09:21:07,47.21622762,10.14008755,16.00,1647.693,,0.000,,5,8,,
T,2023-01-06 09:21:08,47.21622964,10.14009104,16.00,1647.871,,0.000,,5,8,,
T,2023-01-06 09:21:09,47.21623201,10.14008821,16.00,1648.134,,0.000,,4,8,,
T,2023-01-06 09:21:10,47.21623201,10.14008821,16.00,1648.701,,0.000,,5,8,,
T,2023-01-06 09:21:11,47.21623201,10.14008821,16.00,1649.288,,0.000,,5,8,,
T,2023-01-06 09:21:12,47.21621699,10.14009186,16.00,1650.181,,0.000,,5,8,,
T,2023-01-06 09:21:13,47.21620846,10.14007505,12.00,1650.859,,0.000,,7,8,,
T,2023-01-06 09:21:14,47.21620846,10.14007505,12.00,1651.723,,0.000,,6,10,,
T,2023-01-06 09:21:15,47.21619826,10.14007151,12.00,1652.812,,0.000,,6,10,,
T,2023-01-06 09:21:16,47.21619234,10.14006610,12.00,1653.820,,1.015,212,6,10,,
T,2023-01-06 09:21:17,47.21618515,10.14006048,8.00,1653.969,,0.910,235,6,10,,
T,2023-01-06 09:21:18,47.21617893,10.14005288,8.00,1654.986,,0.410,236,6,10,,
T,2023-01-06 09:21:19,47.21617619,10.14004836,8.00,1655.588,,0.348,238,6,10,,
T,2023-01-06 09:21:20,47.21617326,10.14004258,8.00,1656.233,,0.501,241,7,10,,
T,2023-01-06 09:21:21,47.21617030,10.14003693,8.00,1657.040,,1.118,241,6,10,,
T,2023-01-06 09:21:22,47.21616860,10.14001725,8.00,1653.599,,0.410,258,7,10,,
T,2023-01-06 09:21:23,47.21616860,10.14001725,8.00,1653.917,,0.000,,7,10,,
T,2023-01-06 09:21:24,47.21616719,10.14000415,8.00,1655.542,,0.771,259,7,10,,
T,2023-01-06 09:21:25,47.21616590,10.13999477,6.00,1655.798,,0.396,265,7,10,,
T,2023-01-06 09:21:26,47.21616506,10.13998963,6.00,1655.745,,1.203,255,7,9,,
T,2023-01-06 09:21:27,47.21616506,10.13998963,6.00,1655.952,,0.000,,7,8,,
T,2023-01-06 09:21:28,47.21616506,10.13998963,6.00,1657.190,,0.000,,7,8,,
T,2023-01-06 09:21:29,47.21616506,10.13998963,6.00,1656.773,,0.000,,7,8,,
T,2023-01-06 09:21:30,47.21615828,10.13997020,6.00,1656.851,,0.072,255,7,8,,
T,2023-01-06 09:21:31,47.21615507,10.13996708,6.00,1656.792,,0.675,246,7,8,,
T,2023-01-06 09:21:32,47.21615166,10.13994828,6.00,1656.629,,1.049,264,8,8,,
T,2023-01-06 09:21:33,47.21615338,10.13992874,6.00,1656.336,,1.253,286,8,8,,
T,2023-01-06 09:21:34,47.21615622,10.13991122,6.00,1656.097,,1.158,286,8,8,,
T,2023-01-06 09:21:35,47.21615669,10.13991023,6.00,1656.341,,0.864,285,8,8,,
T,2023-01-06 09:21:36,47.21615773,10.13990434,6.00,1656.431,,0.830,272,8,8,,
T,2023-01-06 09:21:37,47.21615634,10.13988864,6.00,1656.210,,0.913,251,7,8,,
T,2023-01-06 09:21:38,47.21614871,10.13988167,6.00,1656.682,,0.953,253,8,8,,
T,2023-01-06 09:21:39,47.21614484,10.13986634,6.00,1656.537,,0.967,246,8,8,,
T,2023-01-06 09:21:40,47.21614296,10.13985858,6.00,1656.076,,0.914,246,8,8,,
T,2023-01-06 09:21:41,47.21613815,10.13984540,4.00,1655.622,,0.954,249,8,8,,
T,2023-01-06 09:21:42,47.21613356,10.13982954,4.00,1655.857,,0.998,256,8,8,,
T,2023-01-06 09:21:43,47.21612932,10.13981622,4.00,1655.527,,1.022,247,7,8,,
T,2023-01-06 09:21:44,47.21612241,10.13979300,4.00,1655.106,,1.108,244,6,8,,
T,2023-01-06 09:21:45,47.21611778,10.13978211,4.00,1655.380,,1.093,246,7,8,,
T,2023-01-06 09:21:46,47.21611076,10.13976916,4.00,1655.287,,1.110,231,7,8,,
T,2023-01-06 09:21:47,47.21609923,10.13975759,4.00,1655.319,,1.151,213,7,8,,
T,2023-01-06 09:21:48,47.21608754,10.13974699,4.00,1655.346,,1.179,218,7,8,,
T,2023-01-06 09:21:49,47.21608123,10.13973749,4.00,1655.568,,1.172,230,7,8,,
T,2023-01-06 09:21:50,47.21607607,10.13971627,4.00,1655.040,,1.220,256,7,8,,
T,2023-01-06 09:21:51,47.21607190,10.13969941,4.00,1655.700,,1.227,230,7,8,,
T,2023-01-06 09:21:52,47.21607190,10.13969049,4.00,1656.407,,0.907,230,7,8,,
T,2023-01-06 09:21:53,47.21607501,10.13967818,4.00,1657.407,,1.045,284,7,8,,
T,2023-01-06 09:21:54,47.21607746,10.13966533,4.00,1657.299,,1.016,306,7,8,,
T,2023-01-06 09:21:55,47.21608315,10.13965639,4.00,1657.277,,0.954,308,7,8,,
T,2023-01-06 09:21:56,47.21608891,10.13964746,4.00,1657.295,,0.999,308,7,8,,
T,2023-01-06 09:21:57,47.21609152,10.13962368,4.00,1657.519,,1.178,259,7,8,,
T,2023-01-06 09:21:58,47.21609287,10.13961255,4.00,1657.657,,1.101,290,7,8,,
T,2023-01-06 09:21:59,47.21609597,10.13960406,4.00,1657.778,,0.941,290,8,8,,
T,2023-01-06 09:22:00,47.21609779,10.13959935,4.00,1657.612,,0.912,310,7,8,,
T,2023-01-06 09:22:01,47.21610208,10.13959075,6.00,1657.516,,0.825,298,7,8,,
T,2023-01-06 09:22:02,47.21610495,10.13958545,6.00,1657.368,,0.769,303,6,8,,
T,2023-01-06 09:22:03,47.21611077,10.13957961,6.00,1657.403,,0.784,318,6,8,,
T,2023-01-06 09:22:04,47.21611603,10.13957313,6.00,1657.275,,0.796,317,6,8,,
T,2023-01-06 09:22:05,47.21612116,10.13956296,6.00,1657.257,,0.815,305,6,8,,
T,2023-01-06 09:22:06,47.21612797,10.13955321,6.00,1657.313,,0.828,345,7,8,,
T,2023-01-06 09:22:07,47.21613258,10.13954694,6.00,1657.767,,0.824,326,6,8,,
T,2023-01-06 09:22:08,47.21614426,10.13953832,6.00,1658.197,,0.898,340,6,8,,
